SMILES
CCN(CC)C(C)CN1C2=CC=CC=C2SC2=CC=CC=C12
COCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](CC1=CC=CC=C1)NC(=O)OCC1=CC=CC=C1)B(O)O
NCC1=CNC(=S)N1[C@H]1CCC2=C(C1)C=C(F)C=C2F
CC(C)[C@H]1C2=C(CC[C@@]1(CCN(C)CCCC1=NC3=CC=CC=C3N1)OC(=O)C1CC1)C=C(F)C=C2
[H][C@@](O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)([C@H](O)CO)[C@H](O)[C@@H](O)CO
C[N+](C)(C)CC([O-])=O
[H][C@]12C[C@@H](O)[C@H](\C=C\[C@@H](O)[C@@H](C)CC#CC)[C@@]1([H])C1=CC=CC(CCCC(O)=O)=C1O2
[H]\C(N1CCN(C)CC1)=C1\N=C2CN=C(C3=CC=CC=C3Cl)C3=C(C=CC(=C3)N(=O)=O)N2C1=O
[H][C@@]1(O)C[C@@]([H])(O)[C@]([H])(OCCCCCC)O[C@]1([H])CO
CC(C)NCCCN1C(SC2=C(I)C=C3OCOC3=C2)=NC2=C(N)N=CN=C12
[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C)[C@H](C)\C=C\[C@H](C)C(C)C
COC1=CC=C(F)C(F)=C1C(=O)C1=CN=C(NC2CCN(CC2)S(C)(=O)=O)N=C1N
[H]N(C(=O)OC(C)(C)C)[C@@]([H])(C(C)C)C1=NN=CO1
C[C@@H](NC(=O)CC1=C(Cl)C=C\C(=N/CC(F)(F)C2=CC=CC=[N+]2[O-])N1O)C1=CC(Cl)=CC=C1
CCOC(=O)C1=NC=C2NC3=C(C=C(OCC4=CC=CC=C4)C=C3)C2=C1COC
OC(=O)C(=O)NC1=C(C=CC=C1)C(O)=O
CCCCCCCCCCCCCCOC1=CC=C(O1)C(=O)OCC(=O)N(C)CC(=O)OCC
CC1(C)CC(CC(C)(C)N1)OC1=NN=C(C=C1)C1=C(O)C=C(C=C1)C1=CNN=C1
CC(C)OC(=O)[C@H](C)NP(=O)(OC[C@H]1O[C@@](C#N)(C2=CC=C3N2N=CN=C3N)[C@](C)(O)[C@@H]1OC(=O)C(C)C)OC1=CC=CC=C1
[H][C@](C)(NC(=O)C1=C(C)C=CC(N)=C1)C1=CC=CC2=C1C=CC=C2
